Country,Income
Afghanistan,1900
Albania,11880
Algeria,14720
Argentina,19480
Armenia,9000
Australia,45970
Austria,49990
Bangladesh,3790
Belarus,17210
Belgium,46010
Belize,8000
Benin,2170
Bhutan,8070
Bolivia,7090
Bosnia and Herzegovina,12140
Botswana,16380
Brazil,14810
Bulgaria,19020
Burkina Faso,1680
Burundi,770
Cambodia,3510
Cameroon,3250
Canada,43420
Chad,1950
Chile,23270
China,15500
Colombia,13910
Comoros,1520
Costa Rica,15750
Cote d'Ivoire,3610
Croatia,22880
Cyprus,31420
Czech Republic,32710
Denmark,51040
Djibouti,2600
Dominican Republic,14480
Ecuador,11070
Egypt,11110
El Salvador,8220
Estonia,28920
Ethiopia,1730
Finland,43400
France,42380
Gabon,16720
Georgia,9450
Germany,49530
Ghana,4150
Greece,26900
Guatemala,7750
Guinea,1200
Haiti,1790
Honduras,4410
Hong Kong,60530
Hungary,25640
Iceland,52490
India,6490
Indonesia,11220
Iran,17800
Iraq,17240
Ireland,56870
Israel,37400
Italy,38230
Jamaica,8500
Japan,42870
Kazakhstan,22910
Kenya,3130
Kyrgyzstan,3410
Latvia,26090
Lebanon,13860
Lesotho,3390
Liberia,700
Lithuania,28840
Luxembourg,75750
Macedonia,14480
Malawi,1140
Malaysia,26900
Malta,35720
Mauritania,3760
Mauritius,20980
Mexico,17740
Mongolia,11290
Montenegro,17090
Morocco,7700
Mozambique,1190
Myanmar,5300
Namibia,10550
Nepal,2520
Netherlands,50320
New Zealand,37860
Nicaragua,5390
Niger,970
Nigeria,5740
Norway,62510
Oman,41300
Pakistan,5580
Palistine,3290
Panama,20990
Paraguay,9060
Peru,12480
Philippines,9400
Poland,26770
Portugal,29990
Congo,5380
Romania,22950
Russia,22540
Rwanda,1870
Senegal,2480
Serbia,13680
Sierra Leone,1320
Slovakia,29910
Slovenia,32360
South Africa,12860
South Korea,35790
Spain,36340
Sri Lanka,11970
Suriname,13720
Swaziland,7980
Sweden,50000
Switzerland,63660
Syria,5200
Tajikistan,3500
Tanzania,2740
Thailand,16070
Togo,1370
Trinidad and Tobago,30810
Tunisia,11150
Turkey,23990
Turkmenistan,16060
Uganda,1820
Ukraine,8190
UK,42100
USA,58030
Uruguay,21090
Uzbekistan,6640
Vanuatu,3150
Venezuela,18000
Vietnam,6050
Yemen,2490
Zambia,3790
Zimbabwe,1920
